Room,Month,RM ARR,RM NIGHTS,ROOM REV,ADR,,,,
705,March,14,20,"3,002.14",150.11,,,,
705,April,11,18,"2,345.54",130.31,,,,
705,May,14,21,"3,616.45",172.21,,,,
705,June,11,15,"2,534.27",168.95,,,,
705,July,12,17,"2,751.06",161.83,,,,
705,August,11,21,"3,597.64",171.32,,,,
705,September,13,19,"3,230.48",170.03,,,,
705,October,14,21,"3,229.18",153.77,,,,
705,November,17,20,"3,416.71",170.84,,,,
705,December,14,18,"3,530.95",196.16,,,,
706,January,9,12,"1,669.01",139.08,,,,
706,February,10,13,"1,959.15",150.7,,,,
706,March,20,25,"4,166.37",166.65,,,,
706,April,11,20,"3,164.84",158.24,,,,
706,May,12,16,"3,473.55",217.1,,,,
706,June,14,17,"3,345.76",196.81,,,,
706,July,15,22,"3,718.34",169.02,,,,
706,August,16,26,"4,801.80",184.68,,,,
706,September,10,18,"3,340.09",185.56,,,,
706,October,8,11,"2,417.94",219.81,,,,
706,November,10,15,"2,636.57",175.77,,,,
706,December,12,16,"2,326.80",145.43,,,,
707,January,8,17,"2,070.47",121.79,,,,
707,February,13,20,"2,745.23",137.26,,,,
707,March,14,20,"2,679.13",133.96,,,,
707,April,14,23,"3,423.03",148.83,,,,
707,May,13,21,"3,257.75",155.13,,,,
707,June,11,17,"2,972.15",174.83,,,,
707,July,10,17,"2,736.96",161,,,,
707,August,16,21,"3,593.58",171.12,,,,
707,September,14,18,"2,926.99",162.61,,,,
707,October,16,22,"3,648.74",165.85,,,,
707,November,15,19,"2,806.70",147.72,,,,
707,December,13,17,"2,269.33",133.49,,,,
708,January,4,7,967.58,138.23,,,,
708,February,8,10,"1,817.85",181.79,,,,
708,March,14,19,"2,789.91",146.84,,,,
708,April,13,23,"3,326.46",144.63,,,,
708,May,12,16,"3,275.69",204.73,,,,
708,June,10,16,"2,855.47",178.47,,,,
708,July,10,19,"3,138.49",165.18,,,,
708,August,14,21,"4,513.04",214.91,,,,
708,September,9,14,"2,592.13",185.15,,,,
708,October,9,11,"2,012.02",182.91,,,,
708,November,12,14,"2,577.79",184.13,,,,
708,December,10,13,"2,320.83",178.53,,,,
709,January,5,8,867.76,108.47,,,,
709,February,13,17,"2,315.02",136.18,,,,
709,March,10,16,"2,242.06",140.13,,,,
709,April,7,13,"1,975.10",151.93,,,,
709,May,14,18,"2,847.37",158.19,,,,
709,June,12,16,"3,086.37",192.9,,,,
709,July,12,15,"2,252.63",150.18,,,,
709,August,11,18,"3,262.48",181.25,,,,
709,September,9,17,"3,069.29",180.55,,,,
709,October,13,21,"3,311.64",157.7,,,,
709,November,12,17,"2,624.74",154.4,,,,
709,December,11,12,"1,884.64",157.05,,,,
710,January,5,6,776.55,129.43,,,,
710,February,6,10,"1,470.40",147.04,,,,
710,March,13,18,"2,540.60",141.14,,,,
710,April,10,18,"3,116.15",173.12,,,,
710,May,6,12,"2,875.80",239.65,,,,
710,June,11,17,"3,270.77",192.4,,,,
710,July,12,23,"3,599.71",156.51,,,,
710,August,11,21,"3,618.70",172.32,,,,
710,September,10,14,"2,808.88",200.63,,,,
710,October,8,14,"2,778.00",198.43,,,,
710,November,12,16,"2,520.60",157.54,,,,
710,December,8,9,"1,316.87",146.32,,,,
712,February,3,4,942.3,235.58,,,,
712,March,4,6,760.79,126.8,,,,
712,April,9,15,"2,383.79",158.92,,,,
712,May,5,9,"2,169.62",241.07,,,,
712,June,5,5,937.34,187.47,,,,
712,July,6,10,"1,640.72",164.07,,,,
712,August,5,10,"2,674.54",267.45,,,,
712,September,4,5,"1,004.78",200.96,,,,
712,October,5,8,"1,448.11",181.01,,,,
712,November,8,8,"1,509.65",188.71,,,,
